	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
16	UNDER	0.5	nu	0.1	0.00985020263440299	0.32366666666666666	0.019037959372036267	0.07288376075426958	0.06835244580169571
17	UNDER	0.5	nu	0.2	0.007836275340968934	0.45233333333333337	0.015389227776137942	0.11607992941977692	0.11075702245270555
18	UNDER	1.0	nu	0.01	0.004843711359635984	0.445	0.009461490934231254	0.03777761700287245	0.03439730758344704
19	UNDER	1.0	nu	0.05	0.0048869728910703476	0.22733333333333333	0.009506543562089322	0.06996946797357108	0.06825273744939718
20	UNDER	1.0	nu	0.1	0.004909805557882211	0.23533333333333334	0.009606138218878641	0.09595677161266074	0.09268079207370307
21	UNDER	1.0	nu	0.2	0.005765186552484694	0.37266666666666665	0.011338204242981539	0.1334488298403009	0.12788545614604538
22	OVER	0.5	nu	0.01	0.04443495792155079	0.23466666666666666	0.07467238843919399	0.001432559705562055	0.0012394470058180325
23	OVER	0.5	nu	0.05	0.020594843534861053	0.31566666666666665	0.03865717450616475	0.013596624044956656	0.011821198506761676
24	OVER	0.5	nu	0.1	0.016463487410315905	0.42800000000000005	0.031703680575305405	0.04020322525557653	0.03841472377512321
25	OVER	0.5	nu	0.2	0.00985053169382705	0.5413333333333332	0.019347582067983992	0.06412012933904755	0.060927159044050674
26	OVER	1.0	nu	0.01	0.028680148469573397	0.16999999999999998	0.04904153386530678	0.002085978198794588	0.0016415162136070988
27	OVER	1.0	nu	0.05	0.016466234395041995	0.267	0.031009793359869153	0.04837948814238467	0.045947389277842594
28	OVER	1.0	nu	0.1	0.011351676842330885	0.32366666666666666	0.021931862134239838	0.1033044083254282	0.10130570011565931
29	OVER	1.0	nu	0.2	0.0081699567667235	0.46866666666666673	0.016058679063477604	0.14071457320157804	0.13837001187679224
30	NONE	0.0	gamma	scale	0.0031975563758856857	0.968	0.006374050406381629	0.0008898894655500065	0.0008460407436117537
31	NONE	0.0	gamma	auto	0.003195664549262006	0.968	0.006370292001931647	0.0008880046456681414	0.0008448863789690204
32	NONE	0.0	gamma	0.01	0.0031978593518050213	0.968	0.006374651544391183	0.0008934178541057599	0.0008482640136955695
33	NONE	0.0	gamma	0.1	0.0032224631979497825	0.976	0.006423706987803479	0.0008822654382765968	0.0008422328342934553
34	NONE	0.0	gamma	1.0	0.002187092585265382	0.992	0.004364560356030918	0.0009937353813188588	0.0008631965993021557
35	UNDER	0.5	gamma	scale	0.0043173738814890564	0.8709999999999999	0.008591792912408093	0.009929552340160328	0.009665894518214205
36	UNDER	0.5	gamma	auto	0.004509501337395592	0.9196666666666667	0.00897486309719415	0.0010107459344986037	0.0009231360787666393
37	UNDER	0.5	gamma	0.01	0.004727027464219373	0.9116666666666667	0.009404856371094712	0.001505377282721483	0.0011977798343586542
38	UNDER	0.5	gamma	0.1	0.0026531990426387304	0.9596666666666668	0.005291746809802658	0.0009670132564058813	0.0009161687392627583
39	UNDER	0.5	gamma	1.0	0.0016558196283382779	1.0	0.00330616363544832	0.0012687820305911977	0.0010690039202495324
40	UNDER	1.0	gamma	scale	0.003241934633874407	0.6856666666666668	0.006453036121283345	0.09073145876426769	0.08339467172832452
41	UNDER	1.0	gamma	auto	0.004103689325408965	0.8869999999999999	0.008169385825057676	0.0011194542129101593	0.0009977053462401997
