	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
36	OVER	0.5	max_features	log2	0.9053546857339427	0.8201052631578948	0.8596427309604137	0.8423459192303786	0.8467686238265587
37	OVER	0.5	max_features	0.3	0.8895196594733275	0.8147719298245614	0.8491846434406213	0.8319111793578624	0.8401465162051036
38	OVER	0.5	max_features	0.5	0.8890692480856416	0.8147719298245614	0.8491770003776159	0.8247539651795597	0.8343359495168559
39	OVER	0.5	max_features		0.739696558718653	0.793719298245614	0.764323623943161	0.7705246489899613	0.790425384852275
40	OVER	1.0	max_features	sqrt	0.9013416516642323	0.8227368421052631	0.858777915361852	0.8312676031646614	0.8380719266958602
41	OVER	1.0	max_features	log2	0.9022704689984102	0.8201052631578948	0.8584094562511829	0.8403072681813205	0.8446608359809182
42	OVER	1.0	max_features	0.3	0.8847750655086051	0.814842105263158	0.846777101846774	0.8376387214974834	0.8429575359439905
43	OVER	1.0	max_features	0.5	0.8555814059103533	0.806842105263158	0.8293424367371681	0.8221667298323279	0.8305701585904861
44	OVER	1.0	max_features		0.712221669155467	0.7831228070175439	0.7418370973694868	0.7606913468145733	0.7788355832884435
45	NONE	0.0	class_weight	balanced	0.9514546530074479	0.751298245614035	0.8366161672263661	0.8301415829723793	0.8376752508182838
46	NONE	0.0	class_weight	balanced_subsample	0.9482981581198127	0.7434035087719297	0.8304628653715526	0.8314627155186693	0.8390686525634703
47	NONE	0.0	class_weight		0.9422644145160304	0.7750877192982456	0.8481388477659302	0.8344351493425048	0.8401574108790457
48	NONE	0.0	n_estimators	500	0.9392812761967457	0.777719298245614	0.8483191629398291	0.8417096752189472	0.8435270238200498
49	UNDER	0.5	n_estimators	500	0.15727073911097822	0.872982456140351	0.26440272236441625	0.7544899445542168	0.7732737170549447
50	UNDER	1.0	n_estimators	500	0.0688106809273545	0.8994385964912279	0.12778219278326317	0.753018651960651	0.773262370719763
51	OVER	0.5	n_estimators	500	0.900634927008017	0.8227017543859649	0.8586617071245948	0.8476072806734148	0.8484718980634038
52	OVER	1.0	n_estimators	500	0.9061155413076871	0.8227368421052631	0.8610891960284917	0.8451558510444448	0.8462765456418486
