	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	kernel	linear	0.0014053924343520089	0.4225	0.002801459151845291	0.005603653175059206	0.004559714629230262
1	NONE	0.0	kernel	rbf	0.003205362588636373	0.9608333333333334	0.0063893898192683134	0.0009424500691201196	0.0008647798807073023
2	UNDER	0.5	kernel	linear	0.00022959743228221909	0.10500000000000001	0.00045819278033953757	0.06067931320381168	0.053642480124131184
3	UNDER	0.5	kernel	rbf	0.004201748957630009	0.8433333333333334	0.00836117334322424	0.014187007410510249	0.013760099957273156
4	UNDER	1.0	kernel	linear	0.00016667585160512542	0.0925	0.00033275102472810346	0.1066462469338639	0.09582111216367181
5	UNDER	1.0	kernel	rbf	0.0033329150722863467	0.6983333333333334	0.006633986318226768	0.12218022813634191	0.11723695120460871
6	OVER	0.5	kernel	linear	0.00020992643691338493	0.09333333333333334	0.00041891035191245673	0.053326016142738686	0.045769018384721895
7	OVER	0.5	kernel	rbf	0.004051946546644754	0.8691666666666666	0.008066233007134164	0.01451813784927477	0.013918889437389536
8	OVER	1.0	kernel	linear	0.00023800637689591603	0.1325	0.00047515864542380245	0.028187303418042937	0.02487265275925264
9	OVER	1.0	kernel	rbf	0.003264837141922589	0.7383333333333333	0.006500887846952297	0.10994914103424251	0.1079071468213811
10	NONE	0.0	nu	0.01	0.0670068536275714	0.6983333333333334	0.12218694171534587	0.0010225403611753019	0.0009070537624344596
11	NONE	0.0	nu	0.05	0.02894380271715038	0.8816666666666666	0.0560383340344053	0.0010897800560201118	0.0009378952565702835
12	NONE	0.0	nu	0.1	0.015165415160247173	0.9075	0.029831341859018302	0.0011240944934185729	0.0009548186840084965
13	NONE	0.0	nu	0.2	0.00778783073140336	0.9341666666666667	0.015446802497811283	0.001048806418800175	0.0009174676301220059
14	UNDER	0.5	nu	0.01	0.004542954889239945	0.5258333333333334	0.008936395901500907	0.07890382201623312	0.0759459704069186
15	UNDER	0.5	nu	0.05	0.015301087535463265	0.33083333333333337	0.02898245134555154	0.011010253412343641	0.006994091595187055
