	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	n_estimators	50	0.034006146101102905	0.8236666666666667	0.06531323499181658	0.0008893641782641159	0.0008467300569947432
1	NONE	0.0	n_estimators	100	0.035666114819320235	0.8156666666666668	0.06833828616521029	0.0008838959842810818	0.0008435138668894806
2	NONE	0.0	n_estimators	200	0.035223471904828565	0.8076666666666668	0.06750267134131986	0.0008828715122980174	0.0008432115899679085
3	NONE	0.0	n_estimators	300	0.0353708786463247	0.8156666666666668	0.06780067768291766	0.0008822450804677523	0.0008424228621800795
4	UNDER	0.5	n_estimators	50	0.0438890038361354	0.267	0.07526155921418407	0.0009174279911768835	0.0008706944847783104
5	UNDER	0.5	n_estimators	100	0.041328564028667136	0.251	0.07083341482804913	0.000917541163037203	0.000873553723196684
6	UNDER	0.5	n_estimators	200	0.03736656690092082	0.24266666666666667	0.06448683458225155	0.0009137177426872774	0.0008702329749713369
7	UNDER	0.5	n_estimators	300	0.036920880576968164	0.24266666666666667	0.06378989279766269	0.0009171935196368508	0.0008725225160454893
8	UNDER	1.0	n_estimators	50	0.0428099173553719	0.25133333333333335	0.07209295477521338	0.0009483552784476037	0.0008983690185860148
9	UNDER	1.0	n_estimators	100	0.036962360113929824	0.22666666666666666	0.06284115564963899	0.0009870280027088377	0.0009214730244973792
10	UNDER	1.0	n_estimators	200	0.03574777760966635	0.24266666666666667	0.061379154344497325	0.0009817747409733174	0.0009187644188823164
11	UNDER	1.0	n_estimators	300	0.0365620322768791	0.251	0.06294426712395149	0.0009624382674545611	0.0009094550380446395
12	OVER	0.5	n_estimators	50	0.04539222793860216	0.4126666666666667	0.08165658602129086	0.0009037317292330385	0.000860772982009083
13	OVER	0.5	n_estimators	100	0.03581456948854013	0.31599999999999995	0.06419371305438684	0.0009227348878220647	0.0008747178265204212
14	OVER	0.5	n_estimators	200	0.03414791334385533	0.33166666666666667	0.06185807181368373	0.0009201907037743047	0.0008736692508656262
15	OVER	0.5	n_estimators	300	0.03312197959464018	0.31566666666666665	0.059898506125327856	0.0009170606526545782	0.0008714021440028044
16	OVER	1.0	n_estimators	50	0.03428018722781025	0.2836666666666667	0.0610301078451307	0.0009350656129016397	0.0008848223164715149
17	OVER	1.0	n_estimators	100	0.028699108651684464	0.251	0.051460103848756544	0.000952244809284626	0.0008988967947577585
18	OVER	1.0	n_estimators	200	0.02559655793893493	0.259	0.04655661941344277	0.0009493615208482969	0.00089789152094337
19	OVER	1.0	n_estimators	300	0.02619052735513836	0.259	0.04754873677863817	0.0009479701928399954	0.0008986301185369943
20	NONE	0.0	max_samples	auto	0.035666114819320235	0.8156666666666668	0.06833828616521029	0.0008838959842810818	0.0008435138668894806
21	NONE	0.0	max_samples	128	0.028148872616033764	0.8476666666666667	0.05447657068978382	0.0008859200185663948	0.0008436632167647575
22	NONE	0.0	max_samples	256	0.035666114819320235	0.8156666666666668	0.06833828616521029	0.0008838959842810818	0.0008435138668894806
23	NONE	0.0	max_samples	512	0.048761597705302404	0.7993333333333333	0.09187012472034026	0.0008810942558656609	0.0008417897876067889
24	UNDER	0.5	max_samples	auto	0.041328564028667136	0.251	0.07083341482804913	0.000917541163037203	0.000873553723196684
25	UNDER	0.5	max_samples	128	0.042914358929847546	0.29933333333333334	0.07498931470049511	0.0009034930033288742	0.0008616387613205641
26	UNDER	0.5	max_samples	256	0.041328564028667136	0.251	0.07083341482804913	0.000917541163037203	0.000873553723196684
27	UNDER	0.5	max_samples	512	0.04196392458013164	0.2506666666666667	0.07166143487544381	0.0009031075965072157	0.0008621151993254115
28	UNDER	1.0	max_samples	auto	0.036962360113929824	0.22666666666666666	0.06284115564963899	0.0009870280027088377	0.0009214730244973792
29	UNDER	1.0	max_samples	128	0.03703751312086739	0.25933333333333336	0.06402951457605	0.0009454517470804252	0.0008958261635475655
30	UNDER	1.0	max_samples	256	0.036962360113929824	0.22666666666666666	0.06284115564963899	0.0009870280027088377	0.0009214730244973792
31	UNDER	1.0	max_samples	512	0.036962360113929824	0.22666666666666666	0.06284115564963899	0.0009870280027088377	0.0009214730244973792
32	OVER	0.5	max_samples	auto	0.03581456948854013	0.31599999999999995	0.06419371305438684	0.0009227348878220647	0.0008747178265204212
33	OVER	0.5	max_samples	128	0.03862643623508129	0.3803333333333333	0.07001477541565482	0.0009163099761816132	0.0008705235368203097
34	OVER	0.5	max_samples	256	0.03581456948854013	0.31599999999999995	0.06419371305438684	0.0009227348878220647	0.0008747178265204212
35	OVER	0.5	max_samples	512	0.031132484426239955	0.26733333333333337	0.055693752774451856	0.0009154857628367227	0.0008703483647313536
36	OVER	1.0	max_samples	auto	0.028699108651684464	0.251	0.051460103848756544	0.000952244809284626	0.0008988967947577585
37	OVER	1.0	max_samples	128	0.028628963623884694	0.29100000000000004	0.05210395905856395	0.0009356629337916947	0.0008878588181872446
38	OVER	1.0	max_samples	256	0.028699108651684464	0.251	0.051460103848756544	0.000952244809284626	0.0008988967947577585
39	OVER	1.0	max_samples	512	0.02925293548403509	0.259	0.05251746577894798	0.0009239516919003413	0.0008785622179736611
40	NONE	0.0	contamination	0.0001	0.26666666666666666	0.01633333333333333	0.0301994301994302	0.0008838959842810818	0.0008435138668894806
41	NONE	0.0	contamination	0.001	0.36789343989343987	0.24266666666666667	0.28651551956815113	0.0008838959842810818	0.0008435138668894806
42	NONE	0.0	contamination	0.005	0.14471004729069245	0.4446666666666667	0.2179666383504623	0.0008838959842810818	0.0008435138668894806
43	NONE	0.0	contamination	0.01	0.09587503637200073	0.5896666666666668	0.16478674025772214	0.0008838959842810818	0.0008435138668894806
44	UNDER	0.5	contamination	0.0001	0.0	0.0	0.0	0.000917541163037203	0.000873553723196684
45	UNDER	0.5	contamination	0.001	0.0	0.0	0.0	0.000917541163037203	0.000873553723196684
46	UNDER	0.5	contamination	0.005	0.06190476190476191	0.01633333333333333	0.025806451612903226	0.000917541163037203	0.000873553723196684
47	UNDER	0.5	contamination	0.01	0.1019047619047619	0.024333333333333335	0.03913978494623656	0.000917541163037203	0.000873553723196684
48	UNDER	1.0	contamination	0.0001	0.0	0.0	0.0	0.0009870280027088377	0.0009214730244973792
49	UNDER	1.0	contamination	0.001	0.0	0.0	0.0	0.0009870280027088377	0.0009214730244973792
50	UNDER	1.0	contamination	0.005	0.02222222222222222	0.008	0.011764705882352941	0.0009870280027088377	0.0009214730244973792
51	UNDER	1.0	contamination	0.01	0.05555555555555556	0.01633333333333333	0.025098039215686273	0.0009870280027088377	0.0009214730244973792
52	OVER	0.5	contamination	0.0001	0.05	0.008333333333333333	0.014285714285714285	0.0009227348878220647	0.0008747178265204212
53	OVER	0.5	contamination	0.001	0.14666666666666667	0.024666666666666663	0.04187192118226601	0.0009227348878220647	0.0008747178265204212
54	OVER	0.5	contamination	0.005	0.15714285714285714	0.04066666666666667	0.06451612903225806	0.0009227348878220647	0.0008747178265204212
55	OVER	0.5	contamination	0.01	0.19762626262626262	0.073	0.10629827688651217	0.0009227348878220647	0.0008747178265204212
56	OVER	1.0	contamination	0.0001	0.2	0.008333333333333333	0.016	0.000952244809284626	0.0008988967947577585
57	OVER	1.0	contamination	0.001	0.2	0.008333333333333333	0.016	0.000952244809284626	0.0008988967947577585
58	OVER	1.0	contamination	0.005	0.12000000000000002	0.024333333333333335	0.04045977011494253	0.000952244809284626	0.0008988967947577585
59	OVER	1.0	contamination	0.01	0.0873015873015873	0.04066666666666666	0.05501165501165502	0.000952244809284626	0.0008988967947577585
